Product				https://www.fibl.org/de/standorte/oesterreich/schwerpunkte-at/klimaschutz/klimaschutz-projekte/co2-fussabdruck.html	production	transport	packaging	storage
Butter (eco)	23.5	Joghurt-butter, Zurück zum Ursprung; Production: 15.6; Transport: 7.8; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_butter.pdf	Joghurt-butter, Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_butter.pdf	15.6	7.8		
Camembert	7.9	Konventionell; Production: 7.2; Transport: 0.293; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_kaese_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_kaese_090625.pdf	7.2	0.293		
Camembert (eco)	6.8	Zurück zum Ursprung; Production: 6.1; Transport: 0.293; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_kaese_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_kaese_090625.pdf	6.1	0.293		
Weidtaler	8.95	Konventionell; Production: 8.06; Transport: 0.361; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_kaese_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_kaese_090625.pdf	8.06	0.361		
Weidtaler (eco)	7.75	Zurück zum Ursprung; Production: 6.86; Transport: 0.361; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_kaese_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_kaese_090625.pdf	6.86	0.361		
Low-fat yogurt	0.838	1% fat, Konventionell; Production: 0.502; Transport: 0.087; Packaging: 0.159; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	1% fat, Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	0.502	0.087	0.159	
Low-fat yogurt (eco)	0.734	1% fat, Zurück zum Ursprung; Production: 0.398; Transport: 0.087; Packaging: 0.159; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	1% fat, Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	0.398	0.087	0.159	
Yogurt	1.369	3.5% fat, Konventionell; Production: 1.041; Transport: 0.079; Packaging: 0.159; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	3.5% fat, Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	1.041	0.079	0.159	
Yogurt (eco)	1.154	3.5% fat, Zurück zum Ursprung; Production: 0.826; Transport: 0.079; Packaging: 0.159; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	3.5% fat, Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	0.826	0.079	0.159	
Fruit yogurt	1.274	1.8% fat, peach-mango, Konventionell; Production: 0.581; Transport: 0.197; Packaging: 0.157; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	1.8% fat, peach-mango, Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	0.581	0.197	0.157	
Fruit yogurt (eco)	1.132	1.8% fat, peach-mango, Zurück zum Ursprung; Production: 0.461; Transport: 0.197; Packaging: 0.157; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	1.8% fat, peach-mango, Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	0.461	0.197	0.157	
Yogurt drink	1.349	2.8% fat, strawberry, Konventionell; Production: 0.779; Transport: 0.079; Packaging: 0.159; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	2.8% fat, strawberry, Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	0.779	0.079	0.159	
Yogurt drink (eco)	1.168	2.8% fat, strawberry, Zurück zum Ursprung; Production: 0.618; Transport: 0.079; Packaging: 0.159; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	2.8% fat, strawberry, Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_joghurt_090625.pdf	0.618	0.079	0.159	
Bread	0.62	Konventionell, Bäcker 1; Production: 0.273; Transport: 0.07; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	Konventionell, Bäcker 1	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	0.273	0.07		
Bread (eco)	0.48	Zurück zum Ursprung, Bäcker 1; Production: 0.129; Transport: 0.07; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	Zurück zum Ursprung, Bäcker 1	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	0.129	0.07		
Baguette	0.62	Konventionell, Bäcker 1; Production: 0.281; Transport: 0.07; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	Konventionell, Bäcker 1	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	0.281	0.07		
Baguette (eco)	0.48	Zurück zum Ursprung, Bäcker 1; Production: 0.132; Transport: 0.07; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	Zurück zum Ursprung, Bäcker 1	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	0.132	0.07		
Bun	0.91	Semmel, Konventionell, Bäcker 1; Production: 0.357; Transport: 0.09; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	Semmel, Konventionell, Bäcker 1	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	0.357	0.09		
Bun (eco)	0.56	Semmel, Zurück zum Ursprung, Bäcker 1; Production: 0.166; Transport: 0.09; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	Semmel, Zurück zum Ursprung, Bäcker 1	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/Ergebnisse_Brot_090803.pdf	0.166	0.09		
Sour cream	5.257	15% fat, Konventionell, Table at bottom, https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/climate_balance_lindenthal_1003.pdf	15% fat, Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/climate_balance_lindenthal_1003.pdf				
Sour cream (eco)	4.19	15% fat, Zurück zum Ursprung, Table at bottom, https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/climate_balance_lindenthal_1003.pdf	15% fat, Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/climate_balance_lindenthal_1003.pdf				
Cream	10.869	38% fat?, Konventionell, Table at bottom, https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/climate_balance_lindenthal_1003.pdf						
Cream (eco)	8.798	38% fat?, Zurück zum Ursprung, Table at bottom, https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/climate_balance_lindenthal_1003.pdf						
Cream cheese	8.647	70% FiT, Konventionell, Table at bottom, https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/climate_balance_lindenthal_1003.pdf						
Cream cheese (eco)	6.736	70% FiT, Zurück zum Ursprung, Table at bottom, https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/climate_balance_lindenthal_1003.pdf						
