Name	Median	Remark
Pineapples	0.5	Table 5 Median; #LCA studies: 5; #GWP values: 6; Mean: 0.72; Stdev: 0.53; Min: 0.4; Max: 1.78
Pinto beans (dried)	0.73	Table 5 Median; #LCA studies: 1; #GWP values: 1
Pistachios	1.53	Table 5 Median; #LCA studies: 1; #GWP values: 2; Mean: 1.53; Stdev: 0.91; Min: 0.88; Max: 2.17
Plake beans	0.26	Table 5 Median; #LCA studies: 1; #GWP values: 3; Mean: 0.3; Stdev: 0.12; Min: 0.22; Max: 0.43
Pollock	1.6	Table 5 Median; #LCA studies: 2; #GWP values: 3; Mean: 1.65; Stdev: 0.47; Min: 1.2; Max: 2.14
Pomelo	0.51	Table 5 Median; #LCA studies: 2; #GWP values: 1
Pomfret	6.63	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 6.63; Stdev: 4.44; Min: 3.49; Max: 9.77
Porbeagle	11.44	Table 5 Median; #LCA studies: 1; #GWP values: 1
Pork	5.77	Table 4 Median; #LCA studies: 38; #GWP values: 130; Mean: 5.85; Stdev: 1.63; Min: 3.2; Max: 11.86
Potatoes	0.18	Table 5 Median; #LCA studies: 16; #GWP values: 25; Mean: 0.2; Stdev: 0.08; Min: 0.08; Max: 0.36
Prawns	7.8	Table 4 Median; #LCA studies: 7; #GWP values: 11; Mean: 14.85; Stdev: 12.37; Min: 5.25; Max: 38
Pulses	0.51	Table 4 Median; #LCA studies: 16; #GWP values: 51; Mean: 0.66; Stdev: 0.45; Min: 0.15; Max: 2.46
Pumpkins	0.25	Table 5 Median; #LCA studies: 4; #GWP values: 8; Mean: 0.33; Stdev: 0.25; Min: 0.15; Max: 0.73
Quinces	0.31	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 0.31; Stdev: 0.01; Min: 0.3; Max: 0.32
Quinoa	1.15	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 1.15; Stdev: 0.07; Min: 1.1; Max: 1.2
Rabbit	4.7	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 4.7; Stdev: 1.24; Min: 3.82; Max: 5.58
Rape seed	2.09	Table 5 Median; #LCA studies: 1; #GWP values: 1
